"Source:","/home/quakesr/githubReposTspi/LevelTranslator15to3V/kicad/lt15t3/lt15t3.kicad_sch"
"Date:","Mo 04 Sep 2023 17:37:43"
"Tool:","Eeschema 7.0.7"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MouserNr"
"1","5","C1, C2, C3, C4, C11","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","",""
"2","1","C5","2.2uF","Device:C_Polarized_Small","Capacitor_SMD:C_1206_3216Metric","~","",""
"3","1","C6","2.2 uF","Device:C_Polarized_Small","Capacitor_SMD:C_1206_3216Metric","~","",""
"4","3","C7, C8, C10","1uF","Device:C_Polarized_Small","Capacitor_SMD:C_0805_2012Metric","~","",""
"5","1","C9","0.33uF","Device:C_Polarized_Small","Capacitor_SMD:C_0805_2012Metric","~","",""
"6","2","D1, D2","P4SMA18CA","Device:D_TVS","Diode_SMD:D_SMA","~","",""
"7","2","D3, D4","CSLZ30V,L3F","Device:D_Zener","Diode_SMD:D_0603_1608Metric","~","",""
"8","3","D5, D6, D7","SM4002","Diode:SM4002","Diode_SMD:D_MELF","http://cdn-reichelt.de/documents/datenblatt/A400/SMD1N400%23DIO.pdf","",""
"9","1","D8","BZY55B3V6 RBG","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","",""
"10","2","F1, F2","Polyfuse_Small","Device:Polyfuse_Small","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","",""
"11","3","J1, J2, J3","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"12","2","R1, R2","100k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","",""
"13","2","R3, R4","TBD","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","",""
"14","2","R5, R6","23k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","",""
"15","2","R7, R8","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","",""
"16","2","U1, U2","OPA140","Amplifier_Operational:OPA188xxDBV","Package_TO_SOT_SMD:TSOT-23-5","http://www.ti.com/lit/ds/symlink/opa188.pdf","",""
"17","1","U3","LM7815_TO220","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","",""
"18","1","U4","LM320T-15","Regulator_Linear:LM337_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm337-n.pdf","",""
"19","1","U5","uA78M33CKCSE3","Regulator_Linear:uA7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/ua78.pdf","",""
"20","1","U6","OPA2376xxD","Amplifier_Operational:OPA2376xxD","Package_SO:SOIC-8W_5.3x5.3mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa376.pdf","","595-OPA2376AQDRQ1"
